TITLE,2010_Average,2011_Average,2012_Average,2013_Average,2014_Average,2015_Average,2016_Average,2017_Average,2018_Average,2019_Average,2020_Average,2021_Average,2022_Average,2023_Average,2024_Average
        Construction of Buildings,12466.67,12625.0,12933.33,13841.67,14458.33,15283.33,17066.67,18216.67,19258.33,19066.67,18641.67,19858.33,21333.33,21658.33,18577.08
          Heavy and Civil Engineering Construction,6075.0,5908.33,5941.67,6116.67,6650.0,6683.33,6583.33,7033.33,7458.33,7733.33,7958.33,7516.67,7100.0,7675.0,7215.97
        Specialty Trade Contractors,36891.67,36708.33,38150.0,41058.33,42816.67,47950.0,52633.33,54291.67,56933.33,57150.0,54716.67,56433.33,59150.0,60475.0,51660.42
          Foundation, Structure, and Building Exterior Co",6400.0,6516.67,6883.33,7141.67,7591.67,8891.67,9741.67,10366.67,11066.67,10525.0,10433.33,10466.67,11008.33,11341.67,9594.44
          Building Equipment Contractors,15333.33,15450.0,16216.67,17416.67,18091.67,20025.0,22258.33,22441.67,22958.33,23225.0,22983.33,24258.33,25816.67,26866.67,22567.36
          Building Finishing Contractors,9975.0,9566.67,10083.33,11116.67,11258.33,12933.33,14266.67,14991.67,16275.0,16550.0,14891.67,15308.33,15458.33,15566.67,13383.33
            Other Specialty Trade Contractors,5183.33,5175.0,4966.67,5383.33,5875.0,6100.0,6366.67,6491.67,6633.33,6850.0,6408.33,6400.0,6866.67,6700.0,6115.28
      Manufacturing,95683.33,96516.67,98325.0,99558.33,102408.33,106558.33,108391.67,109400.0,112341.67,115658.33,113775.0,114408.33,116883.33,115100.0,106324.3
        Durable Goods,73783.33,74283.33,75216.67,75491.67,77300.0,80283.33,81233.33,81508.33,83716.67,86266.67,85400.0,83916.67,84608.33,84041.67,78931.25
          Computer and Electronic Product Manufacturing,26350.0,25775.0,25508.33,25008.33,25475.0,26358.33,27300.0,27991.67,28733.33,29725.0,30516.67,30433.33,31133.33,31033.33,28251.39
          Transportation Equipment Manufacturing,16233.33,16450.0,17075.0,17650.0,18575.0,19950.0,20283.33,20175.0,20908.33,22100.0,21366.67,20325.0,19508.33,19191.67,18015.28
            Aerospace Product and Parts Manufacturing,8225.0,9000.0,10008.33,10700.0,11358.33,11583.33,11566.67,11933.33,12750.0,13358.33,12891.67,11625.0,10950.0,11000.0,10374.3
            Ship and Boat Building,7000.0,6483.33,6216.67,6033.33,6275.0,7400.0,7733.33,7250.0,6991.67,7450.0,7333.33,7475.0,7241.67,6933.33,6567.36
        Non-Durable Goods,21900.0,22233.33,23108.33,24066.67,25108.33,26275.0,27158.33,27891.67,28625.0,29391.67,28375.0,30491.67,32275.0,31058.33,27393.06
