TITLE,2010_Average,2011_Average,2012_Average,2013_Average,2014_Average,2015_Average,2016_Average,2017_Average,2018_Average,2019_Average,2020_Average,2021_Average,2022_Average,2023_Average,2024_Average
        Private Educational Services,5141.67,5366.67,5758.33,6341.67,7191.67,7708.33,7866.67,8083.33,8300.0,10716.67,10458.33,10591.67,11258.33,11741.67,5960.0
        Health Care & Social Assistance,30958.33,31816.67,32291.67,34191.67,35816.67,36400.0,37166.67,38891.67,40241.67,41291.67,40075.0,41358.33,43550.0,45300.0,33015.0
      Leisure and Hospitality,33775.0,35458.33,36833.33,39441.67,40883.33,42233.33,42625.0,43616.67,45108.33,45716.67,30941.67,32975.0,39250.0,42225.0,37278.33
        Arts, Entertainment, and Recreation",5066.67,5058.33,5125.0,5183.33,5266.67,5541.67,5950.0,5783.33,5725.0,5958.33,4041.67,4466.67,5258.33,5841.67,5140.0
        Accommodation & Food Services,28708.33,30400.0,31708.33,34258.33,35616.67,36691.67,36675.0,37833.33,39383.33,39758.33,26900.0,28508.33,33991.67,36383.33,32138.33
      Other Services,11208.33,12233.33,12900.0,13358.33,13866.67,13975.0,13908.33,13641.67,13683.33,13458.33,10691.67,10908.33,13883.33,14091.67,12713.33
      Government,31341.67,30558.33,30283.33,30416.67,31216.67,32266.67,33250.0,33266.67,33216.67,32666.67,30325.0,29958.33,30233.33,30583.33,30763.33
        Federal Government,4033.33,3766.67,3700.0,3616.67,3658.33,3758.33,3766.67,3741.67,3591.67,3483.33,3641.67,3408.33,3008.33,2633.33,3755.0
          State Government,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,650.0,600.0,600.0,600.0,600.0
          Local Government,26708.33,26191.67,25983.33,26200.0,26958.33,27908.33,28883.33,28925.0,29025.0,28583.33,26033.33,25950.0,26625.0,27350.0,26408.33
