TITLE,2010_Average,2011_Average,2012_Average,2013_Average,2014_Average,2015_Average,2016_Average,2017_Average,2018_Average,2019_Average,2020_Average,2021_Average,2022_Average,2023_Average,2024_Average
        Private Educational Services,5466.67,5591.67,6383.33,6933.33,7358.33,7625,8208.33,8166.67,8250,8150,7700,8208.33,9233.33,9691.67,6346.67
        Health Care & Social Assistance,65691.67,68725,72558.33,78566.67,82183.33,87591.67,91950,98816.67,106675,107150,111883.33,116350,122450,134200,73545
      Leisure and Hospitality,67675,68908.33,72316.67,74958.33,80500,83391.67,88216.67,91158.33,93716.67,97800,77566.67,88566.67,101133.33,104233.33,72871.67
        Arts Entertainment and Recreation,9858.33,9500,9716.67,10041.67,10733.33,10875,11308.33,11608.33,12000,12716.67,8933.33,11158.33,12775,13716.67,9970
        Accommodation & Food Services,57816.67,59408.33,62600,64916.67,69766.67,72516.67,76908.33,79550,81716.67,85083.33,68633.33,77408.33,88358.33,90516.67,62901.67
      Other Services,18300,18758.33,19191.67,20275,21558.33,21708.33,22250,22575,22766.67,23266.67,19883.33,21766.67,24391.67,25491.67,19616.67
      Government,109183.33,114200,112141.67,111191.67,112666.67,114458.33,117583.33,126416.67,130083.33,132141.67,124016.67,119783.33,121666.67,128075,111876.67
        Federal Government,7625,7033.33,6825,6833.33,6783.33,6858.33,7066.67,7125,7158.33,7258.33,7691.67,7450,7450,7608.33,7020
          State Government,15908.33,16083.33,15733.33,15766.67,15941.67,16250,16966.67,17458.33,17508.33,17575,17800,16966.67,15183.33,15491.67,15886.67
          Local Government,85650,91083.33,89583.33,88591.67,89941.67,91350,93550,101833.33,105416.67,107308.33,98525,95366.67,99033.33,104975,88970
