RegionID,County,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
3101,Los Angeles,384428.7459087177,361449.2463988344,353306.11423913523,410699.28594859695,461107.1157652473,484048.6409547996,507393.5592408752,552610.5055945901,617861.9570764392,629870.4516235344,668632.5915451914,767560.0452126053,855105.0318341802,843710.1652304886,877329.8413412862
2841,San Diego,367570.6540249159,345534.60588881804,346437.7050172099,404924.79418403306,448741.36354432313,480539.95470266073,516739.30509097374,555612.3857842515,588910.409303906,597489.1619513183,632938.6074138957,750594.9921434388,877506.4818197588,875688.4717978255,943338.1735724413
1286,Orange,480058.0816254349,450287.07528306515,444594.93725280574,522690.4690106659,576988.9690144442,598356.4042412988,624479.7919943023,681514.8271815617,726852.1394735235,728099.3617892342,765564.9920532122,878460.1437649034,1034988.0665891313,1047961.8386242517,1140777.5005035554
2832,Riverside,209338.00385532225,202053.48310368598,203927.27130755878,246591.87726690574,290066.1205100859,310437.7236607185,327019.28910286387,349300.3832771626,379216.40862805734,390507.04390509456,412687.73492372164,502330.05804752046,591167.1687474991,581589.6412259312,607122.5745747753
3250,San Bernardino,182928.52179606265,175359.39463102602,170802.67438930724,205540.3889394389,246143.85814418184,264165.38752757397,282151.5649248589,312921.0349987189,345685.98563125625,357604.52855259797,380191.4996900925,457952.89219486143,530393.23502144,525943.5821990033,549311.9019516658
3136,Santa Clara,536787.6910393455,503423.379155907,545184.1222266831,667018.1284853169,753618.8969113171,865554.1297596442,915552.0020617361,955958.9373072644,1199856.4012126313,1158055.0168596967,1191451.337576154,1364857.7004282712,1554502.2498500638,1478079.2960067731,1591182.2498572376
1510,Alameda,446796.59141282935,409474.6448651922,398061.68470925826,494808.452930855,573433.8197117512,654016.7860718558,723142.3673167245,773567.9455687592,864907.8559849492,856320.5045347502,879424.4643976337,1036735.8084747212,1154750.4025044057,1079125.4671117861,1134261.247583177
3017,Sacramento,201268.39995611281,181877.3332694214,180304.28328903634,231791.47638433232,268279.62993708136,289333.9248985611,318123.28053852526,347593.224466768,376152.0246283822,387887.88600231725,413993.9745505662,493859.63323664095,553484.6805257294,521209.35911730316,536938.3707608158
3159,Contra Costa,319471.88253703644,291725.08355487254,305270.20937126386,385739.2372638179,449894.97494373156,495559.58219382603,540773.2616215071,578204.4785744237,622372.0895711146,630297.9001515332,659290.8441569686,784889.703935947,857989.9183223719,805390.7005102339,825808.80121091
1018,Fresno,165550.08005037557,145161.42057654593,148146.73371050507,170676.13330363523,191646.02696602515,203273.2370779636,218101.04910276044,236042.96772024027,257943.17704634852,270558.874535094,285267.1508388115,335425.91700139333,384888.58753121144,380758.5617015665,396229.8534468163
204,Kern,134067.07895163656,122942.70245280834,127721.95864235466,151741.13279328146,172625.30319738865,184487.60824670538,195003.60759229746,204602.5236051521,218248.4299954258,229959.08547190507,245551.84154143799,288171.06205038464,332980.2421096462,336617.43742639903,353057.2731902383
3227,San Francisco,680034.3889874228,635089.9087406852,682719.3169027088,823416.266229024,945589.5082890403,1107571.9961082996,1168533.684113954,1211813.2024171534,1325196.3427594127,1319721.3658860202,1362785.8614406527,1411902.321336562,1453183.3254761435,1284703.9931270215,1276472.7275783117
2061,Ventura,430046.1205926205,405637.74477402813,380155.288125983,438544.15834798897,487788.54229370726,515209.7231552458,547354.751690453,578996.4346430205,607968.852906008,615570.00830577,642425.9841956217,741946.2262685869,834129.4608817119,825259.8130010919,867784.8418831512
3134,San Joaquin,178347.54001486982,164927.35710514057,166556.99671372754,208101.33839245012,255287.3959933133,279882.36206688697,309453.9896393865,340756.26038266014,373071.59699997614,387788.6991027872,408795.5752412603,493059.559981228,553292.8291214117,526555.3439123665,541317.3647451245
2842,San Mateo,652211.3345053473,602401.8668486581,628186.2788756124,763924.886004946,872332.7432828326,1014059.238585298,1114342.474419356,1188219.123281431,1355400.887224681,1333377.4587201294,1373293.3094280253,1505624.0659992455,1645794.8541429003,1518134.5476591513,1556057.532059684
3033,Stanislaus,153505.0609604696,143366.50248662237,142333.1340784683,176784.0287101634,217064.84848136845,239324.109763825,262889.7612864448,286319.1997248169,311941.8274718591,327618.73349987454,348851.56694575294,415859.37013305246,466047.68836348166,449867.1977872681,468414.93491004256
1396,Sonoma,389479.1861216643,356148.2894408716,343605.0812688971,411478.7445141519,474929.7059419563,524088.8516606063,571449.6106386113,610601.2947655253,670649.9462078547,662941.3783783091,673654.1748981676,747824.5055885016,803700.3081258057,797534.7119783858,812282.646959163
1442,Tulare,146142.84390942892,129367.5050712321,128235.23596990287,149205.35712280375,166558.03021963473,175724.0204661559,189405.66665411895,208490.34119925118,222814.55451822933,234954.8785023299,249294.8832517683,294140.3484436777,335632.2678744166,335174.58218863996,346596.39435447205
1395,Solano,220571.8692158743,203131.37921170838,198241.21592378998,250477.80468102015,307812.65426646493,339039.95968164655,372952.44552742195,405238.74965120654,441300.23432753904,452795.04230621614,473686.260531495,551224.4126100985,607621.369695312,580386.3816158343,594375.5302322444
3229,Santa Barbara,430261.82572003466,381559.13432876207,366224.8419187901,431095.03787253593,489020.7368842078,524570.6707072051,561007.968040768,581867.7286682926,604072.2570509277,612629.1929564286,642940.639459993,764303.7211532888,913939.0403745867,926339.1112809891,980202.7069731939
2444,Monterey,334790.5166548143,309516.1522306353,304793.8017496925,357644.8449226169,414828.662534247,445527.19096179155,486712.79615767393,523557.07604703924,556226.0346942391,580056.988249814,617088.3231654519,725703.6452007203,812649.172139238,805366.5307210706,838770.0021663548
1325,Placer,314823.8684548017,291154.6972982553,291059.57839604985,351612.650537547,391015.4757063809,413399.6702501349,437625.6723418076,466876.1702373526,495240.80992010015,512951.08918659313,537540.7871337017,642765.8679815774,719740.6643428325,674781.693053708,688761.9622870351
3261,San Luis Obispo,385514.524885886,355505.09249888343,370517.2413499933,428542.3456066449,470410.6288006099,499029.8370327763,535030.0917627405,585659.8878937773,616804.0276732326,625006.2911419427,651032.8656016043,746484.9170735899,853998.885592274,864805.5283898121,897157.5656063373
1196,Merced,126869.83854826118,123479.15593971843,122971.13084356333,149601.80940457518,182460.82732306278,199565.72876610153,218314.21750350343,241807.0645028709,264972.87565736036,285714.66871243657,301902.8901110815,360852.85632233997,415940.34610272193,399492.43065072945,415930.75897905824
3025,Santa Cruz,504022.84012229356,464680.8909570862,469346.0163827493,540385.1598966138,601278.1179467201,668286.4121053392,728634.4249838896,778532.2551611001,840205.9482007343,835655.8260024426,868483.9809095282,1047899.3861609967,1197690.3196893537,1141452.6543692169,1167945.43286541
625,Marin,670845.7439110656,612207.603172546,648261.3349920278,769498.5083786275,850021.2986790303,945343.9771790853,1007393.9519357396,1057144.0333704895,1131589.643333497,1127964.2086310524,1173232.4106938494,1378077.127217037,1540761.6427318668,1446371.9034877873,1482057.4926959125
418,Butte,213036.34838990425,195204.9819293166,188012.82327039656,213170.87400313918,232448.52958959836,246142.71175694474,263238.75117058185,283862.8610765782,304072.72293145524,339030.63206131133,353736.73159986886,398721.8044971653,430007.15253061,405326.30097409897,402611.0998764605
340,Yolo,293638.1567244922,268462.43659475155,254980.43767530727,298818.1311914057,338700.7817743349,362740.63273784786,394012.7452654316,429086.37556913076,459005.9246210426,471971.25321040937,491209.7382698683,565554.84355407,631717.6052884463,608112.5758916644,622598.9419136991
2691,El Dorado,331346.5680383035,300329.31845923915,285390.88274669717,332379.68548493943,373578.01423538104,399519.1477833047,429097.016033163,461423.63887587533,493024.9556160624,506555.89607529587,517096.8303687808,630075.1248056048,689937.6837724928,655453.7609665883,668172.9201859955
1380,Shasta,192156.47372304025,178447.73480618934,174285.5088438677,192254.2424375447,209297.56285451114,222353.66161398604,233019.64062652425,248397.74973171327,263624.297079384,279811.0083397619,295839.6062332947,347185.1758555596,381909.0228829448,370906.15558146976,373919.5362344899
2354,Imperial,132542.22399995796,125391.42161397552,133415.97362466398,146592.3913400749,167735.18838356872,184122.63856601604,199878.8602214899,213274.6448609129,224388.532720635,241339.40540191036,257713.17087107073,287708.86335940036,313828.2607114316,324830.5580935305,341675.6340133698
1156,Madera,143161.98806063627,139366.09060462838,142193.24024865852,168081.21930982085,193267.4249577037,206616.20509783385,218567.85378327064,237397.03260842533,263285.1817965325,277411.9887638168,295484.59159645915,352522.7832917345,401999.74464027165,398009.5424892888,412156.4610046706
580,Kings,178327.87239047326,153873.61483158678,144857.49768376347,154076.06191146298,167025.32812593583,177109.75319972122,190963.0133918984,209761.07663218997,223467.55534128338,235020.5423396517,249914.28925978238,292313.39549482864,330524.00104025734,333430.3159519197,347842.6162836581
255,Napa,406099.70494093426,381002.86505947245,378350.5734918501,453877.2650745281,511656.6119998093,563057.4856130101,616743.8179903084,657220.1886091679,692359.5433823008,710862.887208997,732928.1878069997,837565.6110778749,911586.3520674916,904082.1321410637,918327.4283593245
2351,Humboldt,318453.07957948314,307334.18733132933,281436.4211094781,287074.9398520997,296585.5776567791,306516.985316198,330968.8309366022,359764.3986467651,375582.1564567777,395258.7226225324,404709.99309422524,442988.8866917398,481613.9219222477,461055.7021218825,446588.79951912275
1261,Nevada,334229.92838264524,296983.696235198,285260.713854095,323604.45137334545,363555.8524656835,389869.44192249875,415340.69154395105,447571.7496240543,483410.72618281667,491085.9554361066,509292.66062448395,624503.8067182015,675492.5694323971,633710.9890045801,634342.225404395
1415,Sutter,152828.64697885883,146732.1484089207,150546.6584739432,176944.8427873954,207977.6468583331,223010.7512320023,242232.88265474694,270271.80700787966,295111.6313840648,309950.3497612316,334311.99483215326,397823.1969773226,445561.6075829681,426268.5328060097,437977.44075822504
2796,Mendocino,312313.78257277934,300844.8790885091,292992.6338148104,323010.38658906845,356562.81365232717,375986.3010761688,407096.19251021044,446264.83946779685,471943.01691340964,496953.63735873374,514797.2512496205,584804.4295141728,587403.3008632769,532303.4111664791,511160.6708465127
346,Yuba,135678.62941110408,129031.99167458597,129936.6162349938,153270.16465714163,185343.42942996422,200827.61388779522,222388.86565836432,247570.00540584774,271317.6075969807,289514.30172134726,311805.0968467964,373280.6561780607,417569.01675867196,402648.0348137721,415183.6441721219
217,Lake,130134.69131447328,122661.30348594817,124644.71365704907,145821.11826901202,167331.36896870675,184057.8274576642,206511.78456159384,228742.37646457925,252003.93459138082,266042.02862105164,276407.3826916745,321741.3213777276,349737.3982507221,327140.17091216415,320350.14813228685
1426,Tehama,,,122983.31213490502,141121.12916788034,162472.2609899806,178505.59783445337,190226.17793376272,202916.46856456524,219193.42649753374,240199.85674321046,262135.84193036373,306372.8799849937,334135.3297839722,316581.0908265575,319530.17424294073
3020,San Benito,328350.34972031775,310845.4111751547,306828.3900235003,376486.9832988235,441413.4200407652,483001.75507285865,539183.8971407216,571353.9316488142,595481.5492866478,610142.6272473203,637910.0501305374,759231.5995449384,829623.9804426265,772879.545124388,779272.2463689514
2584,Tuolumne,,,,,,,288673.03215212724,297576.99504454137,314029.88854062743,321962.38412058837,321574.8685466217,379319.0323917785,423389.08267857984,406809.2294811884,403794.3699076866
2643,Calaveras,197154.42819569857,189441.0037465474,187352.9467527147,207233.16409464658,238143.61022174946,254894.08967965562,276972.39871006727,298735.67405635485,320714.3313870311,333720.8083803156,344438.5746353711,428910.85115947993,475283.2105681828,450756.0804364616,452603.3122740391
2548,Siskiyou,148418.71878404386,141469.21252317118,140109.7948626047,147512.01717120904,158102.86709236485,163874.75047130912,176383.76537526888,188515.862944373,203683.91969707064,217631.79508926586,226852.3141175409,274534.9895682222,303217.46988100867,295741.5132164658,292748.3262936858
829,Amador,185641.42863819926,176675.53583184117,179923.64491247883,204790.5474552529,233881.19727721778,257602.10872532259,283625.70483554417,308522.1293053674,333997.81895676826,343615.2712275896,351632.1393708661,412267.5595260929,449168.6925634738,429485.03555510426,431732.64244264475
1143,Lassen,122446.06422108365,118589.20484057095,122900.68226590162,126660.86639844622,127934.92383227093,132461.98615412746,148316.12847224137,161632.4635097446,175834.50269227652,185199.33199772768,195537.9126258232,226697.67679300657,235173.70549393195,234489.0992524832,231059.68290923364
524,Glenn,151220.43259001483,146255.8897376424,146464.4143258601,165180.01463188225,179736.9109816794,191613.0593959755,211028.680957449,228600.00313262493,248216.74102162136,271855.15661953465,294764.3391501397,336613.3874331968,369247.1933008662,353549.27700270165,357885.23098922864
2678,Del Norte,184615.96892078395,173833.2427114782,174967.22138850228,181104.33315090323,190247.68018064028,199075.67901240065,213986.27332273815,235128.31296457318,256412.42203548457,265925.2992530628,287979.7500164226,324509.5533182128,354988.44046047627,356402.3065332111,360176.46968975535
952,Colusa,147042.35680775385,140086.91855326743,138477.00222345087,153554.08628302504,172549.2200804007,189910.5116953221,208923.89805373325,225987.82092465245,249030.73802075855,268866.5224361442,285447.68293392134,330504.56840432226,360912.9321649019,357569.14715869084,367469.15809536446
1329,Plumas,185125.41525524936,179738.38200647707,187460.19044594723,195282.9011244924,211115.4518617977,217630.32657240907,233960.04993459582,249932.3108609417,273488.7291960907,287702.91074835125,299613.05574029754,357389.6705349136,395641.29629216256,385341.6436321641,383468.9193619465
188,Inyo,,,,,,,284939.8073616398,310214.0801605135,342370.0073771383,359047.73340407934,378329.04095416993,431619.0702021123,484542.9464589463,490480.5990566482,491149.43972132925
2403,Mariposa,208199.6767813751,193441.7323513708,197492.34409496823,208412.9352190829,234400.5871237005,251263.92933894307,273025.22169475583,292598.392429544,308693.5414366613,317834.2617001672,331956.61873190256,397662.2892265959,425062.1018156518,407120.91960123996,401520.86284808314
2056,Trinity,180365.72876168438,180285.68968042405,186211.61389822778,202938.80342449422,217183.1794798817,227749.167817973,247287.06966805467,269904.8903370588,279948.1094136222,276067.6580565159,293379.49744788697,339001.0395484859,346342.5455376058,316998.5077974588,295065.5420513399
253,Mono,349382.9933872139,348882.3969616866,319853.9511800298,319624.2671667003,348436.9022454168,357381.6755348629,373296.88680141617,396470.08381540875,455197.43811541016,487994.19861280994,520959.54734270106,632661.589448401,767889.381712844,742441.3354635636,746573.640445478
647,Modoc,110085.68890234076,108319.23595674476,101160.96072445178,105453.87927815775,110139.33906565604,112784.35651034699,117836.95717946479,125611.78139181691,133441.9960798812,140105.00856591048,140707.96010623922,167585.9396928568,185019.38127359864,188736.4916562038,190246.96961853228
1391,Sierra,136737.47935149487,137311.61896491,137235.0099025833,148582.4722527478,159471.58507957187,173478.25681510998,188078.7438218742,207892.99702474216,233765.9796844738,247024.2471295978,262778.9553059245,314264.6400331834,354690.7111313972,342456.47379272163,342614.8513411685
828,Alpine,327538.2397019618,303669.41965862847,303978.05006312125,307465.4536110563,333841.4136578772,332126.2292482684,341554.4551919667,346522.0510680357,359971.19158869016,370568.10871395096,383436.93285478017,461043.9467429908,514449.7276203741,496883.44225790014,489541.6268580767
