Main Category,2010_Average,2011_Average,2012_Average,2013_Average,2014_Average,2015_Average,2016_Average,2017_Average,2018_Average,2019_Average,2020_Average,2021_Average,2022_Average,2023_Average,2024_Average
"""Mining Logging and Construction""",260.83,259.17,228.33,225,243.33,290,286.67,314.17,333.33,360,379.17,356.67,356.67,334.17,294.72
Manufacturing,568.33,557.5,521.67,545,604.17,652.5,642.5,665,713.33,741.67,726.67,785.83,854.17,835,662.22
"""Trade Transportation and Utilities""",1290.83,1308.33,1380,1447.5,1494.17,1609.17,1713.33,1655.83,1635.83,1723.33,1715,1792.5,1873.33,1843.33,1638.4
Financial Activities,166.67,164.17,135.83,127.5,138.33,147.5,160,160.83,158.33,153.33,150,159.17,161.67,167.5,155.21
Professional and Business Services,168.33,168.33,157.5,154.17,165.83,234.17,262.5,230.83,225.83,232.5,270,242.5,238.33,229.17,201.18
Private Education and Health Services,837.5,865,930,968.33,910.83,868.33,886.67,885,891.67,961.67,949.17,952.5,1022.5,954.17,957.64
Leisure and Hospitality,681.67,641.67,655.83,627.5,634.17,693.33,697.5,689.17,726.67,760,653.33,749.17,776.67,795.83,715.07
Government,2208.33,2130,2080.83,2052.5,2037.5,2039.17,2065.83,2085,2101.67,2157.5,2005.83,2055.83,2147.5,2286.67,2245.76
